第0次训练后，新的数据集测试
误差范围：1.4002952575683594
负 | 实际值：0.0 | 预测值（含误差范围）：3.504315972328186
负 | 实际值：0.0 | 预测值（含误差范围）：3.58186137676239
胜 | 实际值：3.0 | 预测值（含误差范围）：3.319661021232605
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.35103118419647217
胜 | 实际值：3.0 | 预测值（含误差范围）：2.0054104328155518
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.7540007829666138
胜 | 实际值：2.0 | 预测值（含误差范围）：1.2491895258426666
负 | 实际值：-4.0 | 预测值（含误差范围）：-0.5541490316390991
负 | 实际值：2.0 | 预测值（含误差范围）：4.050001502037048
胜 | 实际值：1.0 | 预测值（含误差范围）：1.3415869772434235
负 | 实际值：1.0 | 预测值（含误差范围）：-0.21919310092926025
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.9045263528823853
胜 | 实际值：1.0 | 预测值（含误差范围）：0.9782980680465698
负 | 实际值：1.0 | 预测值（含误差范围）：-0.23855698108673096
负 | 实际值：-3.0 | 预测值（含误差范围）：-0.9347587823867798
胜 | 实际值：2.0 | 预测值（含误差范围）：2.2330304980278015
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.28447163105010986
负 | 实际值：-1.0 | 预测值（含误差范围）：0.7224735021591187
胜 | 实际值：2.0 | 预测值（含误差范围）：2.170976161956787
负 | 实际值：1.0 | 预测值（含误差范围）：-0.37329936027526855
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.9311493635177612
负 | 实际值：0.0 | 预测值（含误差范围）：1.0035821497440338
胜 | 实际值：2.0 | 预测值（含误差范围）：1.127097338438034
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.7055295705795288
胜 | 实际值：1.0 | 预测值（含误差范围）：0.05808103084564209
胜 | 实际值：-1.0 | 预测值（含误差范围）：-0.5173808336257935
负 | 实际值：-1.0 | 预测值（含误差范围）：0.5719331502914429
负 | 实际值：-2.0 | 预测值（含误差范围）：2.1810469031333923
负 | 实际值：1.0 | 预测值（含误差范围）：5.155805706977844
负 | 实际值：1.0 | 预测值（含误差范围）：3.4050036668777466
负 | 实际值：0.0 | 预测值（含误差范围）：1.4908501505851746
胜 | 实际值：2.0 | 预测值（含误差范围）：1.3745772242546082
负 | 实际值：-2.0 | 预测值（含误差范围）：-0.5946896076202393
胜 | 实际值：2.0 | 预测值（含误差范围）：1.6493903994560242
